Unnamed: 0,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
194.0,Childs Play,Views,2016.0,0.746,0.0175,0.475,1.1e-05,0.197,-11.243,0.113,80.006,0.292,71
195.0,Pop Style,Views,2016.0,0.713,0.192,0.462,2.16e-06,0.105,-10.027,0.123,133.053,0.0594,64
196.0,Too Good,Views,2016.0,0.794,0.0489,0.653,4.88e-05,0.1,-7.839,0.104,117.996,0.397,77
197.0,Summers Over Interlude,Views,2016.0,0.699,0.405,0.255,0.00242,0.0985,-8.647,0.0303,132.031,0.242,75
198.0,Fire & Desire,Views,2016.0,0.722,0.0671,0.252,0.0,0.0852,-14.411,0.0761,79.923,0.275,73
199.0,Views,Views,2016.0,0.395,0.0657,0.852,0.0,0.262,-5.896,0.37,76.428,0.112,62
200.0,Hotline Bling,Views,2016.0,0.891,0.00258,0.628,0.00019,0.0504,-7.863,0.0551,134.966,0.552,81
201.0,Digital Dash,What A Time To Be Alive,2015.0,0.881,0.00296,0.546,4.72e-06,0.226,-7.566,0.12,140.032,0.276,64
202.0,Big Rings,What A Time To Be Alive,2015.0,0.776,0.00196,0.675,0.0,0.227,-6.224,0.266,131.984,0.27,62
203.0,Live From The Gutter,What A Time To Be Alive,2015.0,0.824,0.0369,0.49,1.24e-06,0.0807,-8.391,0.429,165.948,0.307,60
204.0,Diamonds Dancing,What A Time To Be Alive,2015.0,0.51,0.125,0.358,3.74e-05,0.111,-10.847,0.0467,136.036,0.171,62
205.0,Scholarships,What A Time To Be Alive,2015.0,0.739,0.0966,0.416,1.27e-05,0.1,-9.319,0.285,109.168,0.259,63
206.0,Plastic Bag,What A Time To Be Alive,2015.0,0.845,0.0104,0.479,1.79e-06,0.157,-6.065,0.298,170.919,0.35,60
207.0,I'm The Plug,What A Time To Be Alive,2015.0,0.828,0.000379,0.55,0.0016,0.134,-9.158,0.255,160.016,0.254,58
208.0,Change Locations,What A Time To Be Alive,2015.0,0.787,0.0207,0.329,2.95e-06,0.118,-9.991,0.391,137.85,0.209,59
209.0,Jumpman,What A Time To Be Alive,2015.0,0.852,0.0559,0.553,0.0,0.332,-7.286,0.187,142.079,0.656,74
210.0,Jersey,What A Time To Be Alive,2015.0,0.758,0.513,0.526,0.000457,0.0913,-10.81,0.255,146.054,0.312,64
211.0,30 for 30 Freestyle,What A Time To Be Alive,2015.0,0.744,0.671,0.619,0.0,0.123,-9.143,0.398,89.252,0.317,58
212.0,Legend,If You're Reading This It's Too Late,2015.0,0.714,0.0266,0.563,0.0,0.0776,-7.574,0.0723,100.091,0.31,68
213.0,Energy,If You're Reading This It's Too Late,2015.0,0.747,0.38,0.571,0.0,0.534,-7.916,0.478,172.104,0.553,74
214.0,10 Bands,If You're Reading This It's Too Late,2015.0,0.825,0.265,0.756,2.15e-06,0.0762,-3.687,0.383,172.938,0.888,67
215.0,Know Yourself,If You're Reading This It's Too Late,2015.0,0.72,0.196,0.412,0.0,0.342,-8.687,0.223,114.408,0.179,70
216.0,No Tellin',If You're Reading This It's Too Late,2015.0,0.823,0.543,0.467,1.06e-06,0.135,-10.394,0.301,95.026,0.618,63
217.0,Madonna,If You're Reading This It's Too Late,2015.0,0.905,0.0149,0.492,3.77e-05,0.371,-8.598,0.0595,110.017,0.142,60
218.0,6 God,If You're Reading This It's Too Late,2015.0,0.868,0.0249,0.623,0.0,0.125,-8.595,0.101,105.446,0.498,65
219.0,Star67,If You're Reading This It's Too Late,2015.0,0.521,0.747,0.392,8.81e-06,0.198,-7.88,0.17,91.939,0.166,63
220.0,Preach,If You're Reading This It's Too Late,2015.0,0.605,0.165,0.51,8.8e-05,0.104,-8.094,0.423,65.255,0.389,69
221.0,Wednesday Night Interlude,If You're Reading This It's Too Late,2015.0,0.312,0.729,0.466,7.34e-06,0.215,-8.163,0.0509,135.44,0.195,62
222.0,Used To,If You're Reading This It's Too Late,2015.0,0.926,0.0703,0.427,0.000337,0.0818,-7.584,0.105,96.025,0.304,61
223.0,6 Man,If You're Reading This It's Too Late,2015.0,0.568,0.217,0.535,0.0,0.114,-9.306,0.513,83.589,0.326,62
224.0,Now & Forever,If You're Reading This It's Too Late,2015.0,0.555,0.124,0.481,0.0,0.101,-7.419,0.0322,107.793,0.098,59
225.0,Company,If You're Reading This It's Too Late,2015.0,0.651,0.0403,0.55,0.0,0.165,-8.215,0.0496,107.567,0.119,65
226.0,You & The 6,If You're Reading This It's Too Late,2015.0,0.545,0.168,0.476,0.0,0.13,-7.444,0.284,154.362,0.223,62
227.0,Jungle,If You're Reading This It's Too Late,2015.0,0.697,0.62,0.235,0.000144,0.107,-8.651,0.0534,99.947,0.378,78
228.0,6PM In New York,If You're Reading This It's Too Late,2015.0,0.554,0.107,0.85,0.0,0.155,-4.155,0.251,128.429,0.383,61
229.0,Tuscan Leather,Nothing Was The Same (Deluxe),2013.0,0.597,0.115,0.679,0.0,0.231,-5.401,0.39,79.95,0.3,52
230.0,Furthest Thing,Nothing Was The Same (Deluxe),2013.0,0.484,0.147,0.78,0.0,0.057,-5.264,0.135,137.101,0.271,54
231.0,Started From the Bottom,Nothing Was The Same (Deluxe),2013.0,0.794,0.0328,0.522,0.0,0.156,-7.829,0.159,86.318,0.567,53
232.0,Wu-Tang Forever,Nothing Was The Same (Deluxe),2013.0,0.832,0.0474,0.427,0.0,0.101,-8.516,0.257,99.935,0.369,52
233.0,Own It,Nothing Was The Same (Deluxe),2013.0,0.654,0.0487,0.342,3.37e-05,0.313,-11.305,0.101,103.064,0.294,50
234.0,Worst Behavior,Nothing Was The Same (Deluxe),2013.0,0.779,0.158,0.799,0.0,0.209,-6.359,0.15,109.944,0.414,51
235.0,From Time,Nothing Was The Same (Deluxe),2013.0,0.738,0.626,0.491,0.0,0.126,-9.726,0.413,94.378,0.448,59
236.0,"Hold On, We're Going Home",Nothing Was The Same (Deluxe),2013.0,0.776,0.00415,0.413,2.68e-05,0.0724,-7.438,0.0952,100.003,0.287,61
237.0,Connect,Nothing Was The Same (Deluxe),2013.0,0.683,0.408,0.488,0.0,0.132,-9.473,0.135,75.039,0.469,49
238.0,The Language,Nothing Was The Same (Deluxe),2013.0,0.831,0.0125,0.651,0.0,0.0809,-8.363,0.437,120.064,0.502,51
239.0,305 To My City,Nothing Was The Same (Deluxe),2013.0,0.419,0.0567,0.494,0.0,0.144,-8.782,0.345,67.622,0.134,46
240.0,Too Much,Nothing Was The Same (Deluxe),2013.0,0.637,0.173,0.569,0.0,0.18,-5.858,0.55,140.269,0.148,54
241.0,Pound Cake / Paris Morton Music 2,Nothing Was The Same (Deluxe),2013.0,0.521,0.139,0.762,1.11e-05,0.114,-6.75,0.534,164.289,0.264,54
242.0,Come Thru,Nothing Was The Same (Deluxe),2013.0,0.558,0.159,0.468,0.0,0.586,-5.812,0.173,81.977,0.405,64
243.0,All Me,Nothing Was The Same (Deluxe),2013.0,0.67,0.0705,0.515,0.0,0.25,-6.977,0.397,122.006,0.422,67
244.0,Tuscan Leather,Nothing Was The Same,2013.0,0.522,0.114,0.679,0.0,0.231,-5.401,0.405,79.849,0.296,58
245.0,Furthest Thing,Nothing Was The Same,2013.0,0.484,0.147,0.78,0.0,0.0572,-5.264,0.135,137.105,0.271,61
246.0,Started From the Bottom,Nothing Was The Same,2013.0,0.793,0.0319,0.524,0.0,0.156,-7.827,0.156,86.325,0.579,69
