,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
197,Summers Over Interlude,Views,2016,0.699,0.405,0.255,0.00242,0.0985,-8.647,0.0303,132.031,0.242,75
198,Fire & Desire,Views,2016,0.722,0.0671,0.252,0.0,0.0852,-14.411,0.0761,79.923,0.275,73
199,Views,Views,2016,0.395,0.0657,0.852,0.0,0.262,-5.896,0.37,76.428,0.112,62
200,Hotline Bling,Views,2016,0.891,0.00258,0.628,0.00019,0.0504,-7.863,0.0551,134.966,0.552,81
201,Digital Dash,What A Time To Be Alive,2015,0.881,0.00296,0.546,4.72e-06,0.226,-7.566,0.12,140.032,0.276,64
202,Big Rings,What A Time To Be Alive,2015,0.776,0.00196,0.675,0.0,0.227,-6.224,0.266,131.984,0.27,62
203,Live From The Gutter,What A Time To Be Alive,2015,0.824,0.0369,0.49,1.24e-06,0.0807,-8.391,0.429,165.948,0.307,60
204,Diamonds Dancing,What A Time To Be Alive,2015,0.51,0.125,0.358,3.74e-05,0.111,-10.847,0.0467,136.036,0.171,62
205,Scholarships,What A Time To Be Alive,2015,0.739,0.0966,0.416,1.27e-05,0.1,-9.319,0.285,109.168,0.259,63
206,Plastic Bag,What A Time To Be Alive,2015,0.845,0.0104,0.479,1.79e-06,0.157,-6.065,0.298,170.919,0.35,60
207,I'm The Plug,What A Time To Be Alive,2015,0.828,0.000379,0.55,0.0016,0.134,-9.158,0.255,160.016,0.254,58
208,Change Locations,What A Time To Be Alive,2015,0.787,0.0207,0.329,2.95e-06,0.118,-9.991,0.391,137.85,0.209,59
209,Jumpman,What A Time To Be Alive,2015,0.852,0.0559,0.553,0.0,0.332,-7.286,0.187,142.079,0.656,74
210,Jersey,What A Time To Be Alive,2015,0.758,0.513,0.526,0.000457,0.0913,-10.81,0.255,146.054,0.312,64
211,30 for 30 Freestyle,What A Time To Be Alive,2015,0.744,0.671,0.619,0.0,0.123,-9.143,0.398,89.252,0.317,58
212,Legend,If You're Reading This It's Too Late,2015,0.714,0.0266,0.563,0.0,0.0776,-7.574,0.0723,100.091,0.31,68
213,Energy,If You're Reading This It's Too Late,2015,0.747,0.38,0.571,0.0,0.534,-7.916,0.478,172.104,0.553,74
214,10 Bands,If You're Reading This It's Too Late,2015,0.825,0.265,0.756,2.15e-06,0.0762,-3.687,0.383,172.938,0.888,67
